PastMode,presentPositionEntered,ACAIRB=Yes,IMSAUTOC=On,Desig,Data23=Sea,CAstageComplete,CLstageComplete,NDstageComplete,HSstageComplete,PNLTEST=TEST,IMSup,latitude>70,latitude>80,DopplerUp,DopplerCoupled,IMSMODE=Gndal,IMSMODE=Norm,IMSMODE=Iner,IMSMODE=MagSl,IMSMODE=Grid,AirVelocityTestPassed,PitchSmall AND RollSmall,SINSup,SINSvelocityTestPassed,LandVelocityTestPassed,NoInterveningTakeoff,GroundTestFinished,CurrentMode
HUDaln,,T,,,,,t,,,,,,f,,,,,,,,,,,,,,,I
HUDaln,,f,,,,,t,,,,,,f,,,,,T,,,,,,,,,,I
HUDaln,,f,,,,,t,,,,,,f,,,,T,,,,,,,,,,,I
HUDaln,,T,,,,,,,,,,,,,,,,t,,,,,,,,,,OLB
HUDaln,,T,,,,,,,,,,,,,,,t,,,,,,,,,,,OLB
HUDaln,,T,,,,,f,,,,,,,,,t,,,,,,,,,,,,OLB
HUDaln,,f,,,,,,,T,,,,,,,,t,,,,,,,,,,,OLB
HUDaln,,f,,,,,,,T,,,,,,,,,t,,,,,,,,,,OLB
HUDaln,,f,,,,,f,,t,,,,,,,,T,,,,,,,,,,,OLB
HUDaln,,f,,,,,f,,t,,,,,,,,,T,,,,,,,,,,OLB
HUDaln,,f,,F,,,,,,,,,,,,,,,,,,,,,,,,OLB
HUDaln,,f,,,,,,,,,,,,,,,,,T,,,,,,,,,MagSl
HUDaln,,f,,,,,,,,,,,,,,,,,,T,,,,,,,,Grid
HUDaln,,f,,,,,,,,f,F,,,,,,,,,,,,,,,,,IMSfail
HUDaln,,T,,,,,t,,,,,,t,,,,,,,,,,,,,,,PolarI
HUDaln,,f,,,,,t,,,,,,t,,,,T,,,,,,,,,,,PolarI
HUDaln,,f,,,,,t,,,,,,t,,,,,T,,,,,,,,,,PolarI
HUDaln,,f,,,,,,,,T,,,,,,,,,,,,,,,,,,Grtest
I,,f,,,f,,,,,,,,,,,T,,,,,,,,,f,,,Landaln
